child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes,all_dois,vivc_derived_from,vivc_primary_doi,vivc_unloaded_dois
NERELLO MASCALESE,MANTONICO BIANCO,Parent 2,SSR,SSR,,,VIVC passport (via Cipriani 2010; Lacombe & Emanuelli 2020),10.3389/fpls.2020.605934,,confirmed,SANGIOVESE X MANTONICO BIANCO,10.1007/s00122-010-1411-9; 10.1007/s12033-012-9600-1; 10.3389/fpls.2020.605934; 10.5344/ajev.2016.16068,Cipriani 2010; Lacombe & Emanuelli 2020,10.1007/s00122-010-1411-9,10.1007/s12033-012-9600-1; 10.5344/ajev.2016.16068
NERKARAT,SEYANETS S 1262,Parent 1,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,SEYANETS S 1262 X KARMRAHYUT,10.3390/biology10121279,Margaryan 2021,10.3390/biology10121279,
NERKARAT,KARMRAHYUT,Parent 2,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,SEYANETS S 1262 X KARMRAHYUT,10.3390/biology10121279,Margaryan 2021,10.3390/biology10121279,
NERON,MILLARDET ET GRASSET 101 O.P.,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MILLARDET ET GRASSET  101 O.P. X KNIPPERLE,,none,,
NERON,KNIPPERLE,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MILLARDET ET GRASSET  101 O.P. X KNIPPERLE,,none,,
NETTER,DABOUKI,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,DABOUKI X MUSCAT HAMBURG,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
NETTER,MUSCAT HAMBURG,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,DABOUKI X MUSCAT HAMBURG,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
NEUBURGER,VELTLINER ROT,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,VELTLINER ROT  X SILVANER,10.1007/s00122-012-1988-2; 10.5073/vitis.1997.36.179-183,Lacombe 2013,10.1007/s00122-012-1988-2,10.5073/vitis.1997.36.179-183
NEUBURGER,SILVANER,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,VELTLINER ROT  X SILVANER,10.1007/s00122-012-1988-2; 10.5073/vitis.1997.36.179-183,Lacombe 2013,10.1007/s00122-012-1988-2,10.5073/vitis.1997.36.179-183
NEW YORK MUSCAT,MUSCAT HAMBURG,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MUSCAT HAMBURG X ONTARIO,,none,,
NEW YORK MUSCAT,ONTARIO,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MUSCAT HAMBURG X ONTARIO,,none,,
NEZHNYI,COARNA NEAGRA,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,COARNA NEAGRA X DATTIER DE ST. VALLIER,,none,,
NEZHNYI,DATTIER DE ST. VALLIER,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,COARNA NEAGRA X DATTIER DE ST. VALLIER,,none,,
NIGRA,MERLOT,Parent 1,SSR,SSR,,,VIVC passport (via Cipriani 2010),10.1007/s00122-010-1411-9,,confirmed,MERLOT X BARBERA  96,10.1007/s00122-010-1411-9,Cipriani 2010,10.1007/s00122-010-1411-9,
NIGRA,BARBERA 96,Parent 2,SSR,SSR,,,VIVC passport (via Cipriani 2010),10.1007/s00122-010-1411-9,,confirmed,MERLOT X BARBERA  96,10.1007/s00122-010-1411-9,Cipriani 2010,10.1007/s00122-010-1411-9,
NINCUSA,PLAVAC MALI,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,PLAVAC MALI X BOMBINO BIANCO,10.1007/s00122-012-1988-2; 10.3390/genes11070737,Lacombe 2013,10.1007/s00122-012-1988-2,10.3390/genes11070737
NINCUSA,BOMBINO BIANCO,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,PLAVAC MALI X BOMBINO BIANCO,10.1007/s00122-012-1988-2; 10.3390/genes11070737,Lacombe 2013,10.1007/s00122-012-1988-2,10.3390/genes11070737
NOBLING,SILVANER,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,SILVANER X CHASSELAS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
NOBLING,CHASSELAS,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,SILVANER X CHASSELAS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
NOIR GLADY,MUSCAT ROUGE DE MADERE = MOSCATO VIOLETTO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MUSCAT ROUGE DE MADERE = MOSCATO VIOLETTO X PINOT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
NOIR GLADY,PINOT,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MUSCAT ROUGE DE MADERE = MOSCATO VIOLETTO X PINOT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
NOIR HATIF DE MARSEILLE,MUSCAT ROUGE DE MADERE,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.3390/genes11070737,,confirmed,MUSCAT ROUGE DE MADERE X PINOT,10.3390/genes11070737,none,10.3390/genes11070737,10.3390/genes11070737
NOIR HATIF DE MARSEILLE,PINOT,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.3390/genes11070737,,confirmed,MUSCAT ROUGE DE MADERE X PINOT,10.3390/genes11070737,none,10.3390/genes11070737,10.3390/genes11070737
NOTARDOMENICO,SUSUMANIELLO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,SUSUMANIELLO X NERELLO CAPPUCCIO FAUX,10.1007/s00122-012-1988-2; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013,10.1007/s00122-012-1988-2,
NOTARDOMENICO,NERELLO CAPPUCCIO FAUX,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,SUSUMANIELLO X NERELLO CAPPUCCIO FAUX,10.1007/s00122-012-1988-2; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013,10.1007/s00122-012-1988-2,
ODESSKII CHERNYI,ALICANTE HENRI BOUSCHET,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,ALICANTE HENRI BOUSCHET X CABERNET SAUVIGNON,10.1007/s00122-012-1988-2; 10.3103/S0095452718050031,Lacombe 2013,10.1007/s00122-012-1988-2,10.3103/S0095452718050031
ODESSKII CHERNYI,CABERNET SAUVIGNON,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,ALICANTE HENRI BOUSCHET X CABERNET SAUVIGNON,10.1007/s00122-012-1988-2; 10.3103/S0095452718050031,Lacombe 2013,10.1007/s00122-012-1988-2,10.3103/S0095452718050031
ODJU BATAK,MUSCATE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MUSCATE X BEYLERCE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ODJU BATAK,BEYLERCE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MUSCATE X BEYLERCE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ODOLA,BAROQUE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BAROQUE X COT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ODOLA,MALBEC,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BAROQUE X COT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OEROEKKE PIROS,AIN EL BOUMA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,AIN EL BOUMA X MATHIASZ JANOSNE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OEROEKKE PIROS,MATHIASZ JANOSNE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,AIN EL BOUMA X MATHIASZ JANOSNE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OETFUERTUE,HARSLEVELUE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,HARSLEVELUE X MATHIASZ JANOSNE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OETFUERTUE,MATHIASZ JANOSNE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,HARSLEVELUE X MATHIASZ JANOSNE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OKATAC,VUGAVA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,VUGAVA X PLAVAC MALI,10.1007/s00122-012-1988-2; 10.3390/genes11070737,Lacombe 2013,10.1007/s00122-012-1988-2,10.3390/genes11070737
OKATAC,PLAVAC MALI,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,VUGAVA X PLAVAC MALI,10.1007/s00122-012-1988-2; 10.3390/genes11070737,Lacombe 2013,10.1007/s00122-012-1988-2,10.3390/genes11070737
OKTYABRSKII,ANGOOR KALAN,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,ANGOOR KALAN X GLACIERE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OKTYABRSKII,GLACIERE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,ANGOOR KALAN X GLACIERE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OLASZ KORAI,DIAMANTTRAUBE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,DIAMANTTRAUBE X PINOT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OLASZ KORAI,PINOT,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,DIAMANTTRAUBE X PINOT,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OLIVETTE BARTHELET,OLIVETTE BLANCHE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,OLIVETTE BLANCHE X BEBA,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OLIVETTE BARTHELET,BEBA,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,OLIVETTE BLANCHE X BEBA,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OLKHOVSKII,COARNA ALBA,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.1134/S2635167622050135,,confirmed,COARNA ALBA X BULANYI,10.1134/S2635167622050135,none,10.1134/S2635167622050135,10.1134/S2635167622050135
OLKHOVSKII,BULANYI,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.1134/S2635167622050135,,confirmed,COARNA ALBA X BULANYI,10.1134/S2635167622050135,none,10.1134/S2635167622050135,10.1134/S2635167622050135
ONCHETTE,GOUAIS BLANC,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,HEUNISCH WEISS X CHATUS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ONCHETTE,CHATUS,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,HEUNISCH WEISS X CHATUS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ONTARIO,WINCHELL,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,WINCHELL X DIAMOND,,none,,
ONTARIO,DIAMOND,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,WINCHELL X DIAMOND,,none,,
OPSIMOS EDESSIS,ROSA MENNA DI VACCA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,ROSA MENNA DI VACCA X FERRAL = PRUNESTA ROSSO VIOLACEA,10.1007/s00122-012-1988-2; 10.1186/s12870-018-1576-y; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,10.1186/s12870-018-1576-y
OPSIMOS EDESSIS,FERRAL = PRUNESTA ROSSO VIOLACEA,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,ROSA MENNA DI VACCA X FERRAL = PRUNESTA ROSSO VIOLACEA,10.1007/s00122-012-1988-2; 10.1186/s12870-018-1576-y; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,10.1186/s12870-018-1576-y
ORANIENSTEINER,RIESLING,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,RIESLING X SILVANER,,none,,
ORANIENSTEINER,SILVANER,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,RIESLING X SILVANER,,none,,
ORG TOKOS,MUSCAT ROUGE DE MADERE = MOSCATO VIOLETTO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MUSCAT ROUGE DE MADERE = MOSCATO VIOLETTO X PRECOCE DE MALINGRE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ORG TOKOS,PRECOCE DE MALINGRE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MUSCAT ROUGE DE MADERE = MOSCATO VIOLETTO X PRECOCE DE MALINGRE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ORLOVI NOKTI BELI,ROSA MENNA DIVACCA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,ROSA MENNA DIVACCA X TETA DE VACA,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
ORLOVI NOKTI BELI,TETA DE VACA,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,ROSA MENNA DIVACCA X TETA DE VACA,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
ORTEGA,MUELLER THURGAU,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,MUELLER THURGAU X SIEGERREBE,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
ORTEGA,SIEGERREBE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,MUELLER THURGAU X SIEGERREBE,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
OSENNII CHERNYI,KOZ OUZIOUM,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KOZ OUZIOUM X ASSYL KARA,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OSENNII CHERNYI,ASSYL KARA,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KOZ OUZIOUM X ASSYL KARA,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OSIRIS,RIESLING,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,RIESLING X MUELLER THURGAU,,none,,
OSIRIS,MUELLER THURGAU,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,RIESLING X MUELLER THURGAU,,none,,
OSTEINER,RIESLING,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,RIESLING X SILVANER,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
OSTEINER,SILVANER,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,RIESLING X SILVANER,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
OVIDIOPOLSKII,SEVERNII,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.3103/S0095452718050031,,confirmed,SEVERNII X ODESKII STIIKII,10.3103/S0095452718050031,none,10.3103/S0095452718050031,10.3103/S0095452718050031
OVIDIOPOLSKII,ODESKII STIIKII,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.3103/S0095452718050031,,confirmed,SEVERNII X ODESKII STIIKII,10.3103/S0095452718050031,none,10.3103/S0095452718050031,10.3103/S0095452718050031
OZANA,PERLE DE CSABA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,PERLE DE CSABA X AFUZ ALI,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
OZANA,AFUZ ALI,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,PERLE DE CSABA X AFUZ ALI,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
DOURADINHA,AMARAL,Parent 1,SSR,SSR,,,VIVC passport (via Cunha 2020; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,AMARAL X ALFROCHEIRO PRETO,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.00127; 10.3389/fpls.2020.605934; 10.5073/vitis.2015.54.special-issue.59-65,Cunha 2020; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,10.5073/vitis.2015.54.special-issue.59-65
DOURADINHA,ALFROCHEIRO PRETO,Parent 2,SSR,SSR,,,VIVC passport (via Cunha 2020; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,AMARAL X ALFROCHEIRO PRETO,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.00127; 10.3389/fpls.2020.605934; 10.5073/vitis.2015.54.special-issue.59-65,Cunha 2020; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,10.5073/vitis.2015.54.special-issue.59-65
PALAVA,SAVAGNIN BLANC,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TRAMINER X MUELLER THURGAU,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
PALAVA,MUELLER THURGAU,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TRAMINER X MUELLER THURGAU,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
PALESTINA I,BICANE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,BICANE X LUGLIENGA BIANCA,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
PALESTINA I,LUGLIENGA BIANCA,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,BICANE X LUGLIENGA BIANCA,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
PALESTINA II,VERJUS,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,VERJUS X PINOT,,none,,
PALESTINA II,PINOT,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,VERJUS X PINOT,,none,,
PALESTINA III,VERJUS,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,VERJUS X PINOT,,none,,
PALESTINA III,PINOT,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,VERJUS X PINOT,,none,,
PANNONIA KINCSE,CEGLED SZEPE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,CEGLED SZEPE X KOENIGIN DER WEINGAERTEN,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
PANNONIA KINCSE,KOENIGIN DER WEINGAERTEN,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,CEGLED SZEPE X KOENIGIN DER WEINGAERTEN,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
PAPASKARASI,ALBA IMPUTOTATO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,ALBA IMPUTOTATO X PROKUPAC,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
PAPASKARASI,PROKUPAC,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,ALBA IMPUTOTATO X PROKUPAC,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
PARDINA,CITRONELLE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,CITRONELLE X BLACK MONUKKA,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
PARDINA,BLACK MONUKKA,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,CITRONELLE X BLACK MONUKKA,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
PASCALE DI CAGLIARI,HEBIEN,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,HEBEN X MOURVEDRE = MONASTRELL,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
PASCALE DI CAGLIARI,MOURVEDRE = MONASTRELL,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,HEBEN X MOURVEDRE = MONASTRELL,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
PASIGA,ALPHONSE LAVALLEE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,ALPHONSE LAVALLEE X SULTANINA,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
PASIGA,SULTANINA,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,ALPHONSE LAVALLEE X SULTANINA,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
PASSAU,DOLCETTO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020),10.3389/fpls.2020.605934,,confirmed,DOLCETTO X CHATUS,10.1016/j.scienta.2017.02.044; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020,10.1016/j.scienta.2017.02.044,10.1016/j.scienta.2017.02.044
PASSAU,CHATUS,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020),10.3389/fpls.2020.605934,,confirmed,DOLCETTO X CHATUS,10.1016/j.scienta.2017.02.044; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020,10.1016/j.scienta.2017.02.044,10.1016/j.scienta.2017.02.044
PATE NOIR,MUNSON,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MUNSON X RAISINE,,none,,
PATE NOIR,RAISINE,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MUNSON X RAISINE,,none,,
