unresolved_name,n_sources,tier,suggested_canonical,all_candidates,sources_referencing,synonyms_from_sources,grin_accession_id,action,notes
EUGENIA (ALLEMAGNE),2,tier3,EUGENIA,EUGENIA,lacombe 2013; ssr lacombe,,,,
EVEX 13-  5,2,tier3,EVEX 13- 16,EVEX 13- 16 | EVEX 13- 44 | EVEX 10- G | EVEX 10- H | EVEX 10- V | EVEX 11- 3 | EVEX 11- C | EVEX 11- F | EVEX 11- I | EVEX 11- J,vivc confirmed; node profile,,,,
F. LANTINI = PIROVANO 263,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | LANTINI | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
FERLONGO = H 34‐49‐69,2,tier3,FERLONGO,FERLONGO,lacombe 2013; ssr lacombe,,,,
FERRAL (SPAIN) = UVALLON,2,tier3,FERRAL TAMARA,FERRAL TAMARA | FERRAL | FERRAL CEITA | FERRAL MINUDO | FERRAL ROSADO | FERRAL CARPINTEIRO | FERRAL DE MESAO FRIO | ALFONSO LAVALLEE X FERRAL,lac emanuelli 2020; laucou 2018,,,,
FONTANARA = WÜ B 51‐4‐10,2,tier3,FONTANARA,FONTANARA,lacombe 2013; ssr lacombe,,,,
FORMOSA = PIROVANO 245,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | FORMOSA | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
FRANKENTHAL = SCHIAVA GROSSA,2,tier3,SCHIAVA GROSSA,SCHIAVA GROSSA | SCHIAVA GROSSA (4N) | SCHIAVA GENTILE | AGLIANICO GRANA GROSSA | GROSSA | CODA GROSSA | KODA GROSSA | NERA GROSSA | BERLA GROSSA | SCHIAVA BIANCA,vivc confirmed; lacombe 2013,,,,
FRESNO 1613-59,2,tier3,FRESNO RS 3,FRESNO RS 3 | FRESNO RS 9 | FRESNO 27- 31 | FRESNO 58- 93 | FRESNO 62- 45 | FRESNO 64- 18 | FRESNO 18- 149 | FRESNO 32- 145 | FRESNO 43- 13N | FRESNO A 13- 2,vivc confirmed; oliveira 2020,,,,
FROELICH X 4‐2,2,tier3,FROELICH V,FROELICH V | FROELICH X 4 2 | FROELICH PANACHE | FRUEHTRAUBE FROELICH,lacombe 2013; ssr lacombe,,,,
FRUTTUOSA = PIROVANO 27,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | FRUTTUOSA | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
FRÜHMUSKAT OBERLIN,2,tier3,MADELEINE ANGEVINE OBERLIN,MADELEINE ANGEVINE OBERLIN | OBERLIN 477 | OBERLIN 604 | OBERLIN 605 | OBERLIN 782 | OBERLIN NOIR | MUSKAT OBERLIN | CHASSELAS OBERLIN | FRUEHMUSKAT OBERLIN | OBERLIN 535,lacombe 2013; ssr lacombe,,,,
FULGENS = PIROVANO 347,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | FULGENS | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
G. MOLON = PIROVANO 102,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PIROVANO 17 | GIROLAMO MOLON | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
GARGANEGA = GRECANICO,2,tier3,GARGANEGA,GARGANEGA | GARGANEGA MASCIO | GARGANEGA VICENTINA,lacombe 2013; ssr lacombe,,,,
GARRO = MANDO,2,tier3,GARRO,GARRO,lacombe 2013; ssr lacombe,,,,
GENOTYPE 16,2,tier3,RECONSTRUCTED GENOTYPE 51 (GEORGIA),RECONSTRUCTED GENOTYPE 51 (GEORGIA),vivc confirmed; ssr migliaro,,,,
GOLDEN AMBRO,2,tier3,GOLDEN MUSCAT,GOLDEN MUSCAT | GOLDEN QUEEN | GOLDEN CHAMPION | GOLDEN DROP | GOLDEN GIANT | GOLDEN HAMBURGH | GOLDEN GEM | GOLDEN BELL | GOLDEN CITY | GOLDEN GATE,lacombe 2013; ssr lacombe,,,,
GOLDEN HAMBOURG,2,tier3,GOLDEN MUSCAT,GOLDEN MUSCAT | GOLDEN QUEEN | GOLDEN CHAMPION | GOLDEN DROP | GOLDEN GIANT | GOLDEN HAMBURGH | GOLDEN GEM | GOLDEN BELL | GOLDEN CITY | GOLDEN GATE,lacombe 2013; ssr lacombe,,,,
GROS BOURGOGNE,2,tier3,BOURGOGNE GROS,BOURGOGNE GROS | GROS CABERNET | MAROC GROS | GROS BEC | GROS MANSOIS | GROS COURBU DE SEMIS | GROS DORE | PEJAC GROS | GROS COLMAN BLANC | MANSENG GROS BLANC,lac emanuelli 2020; laucou 2018,,,,
GROS MANSENG DE LUCQ,2,tier3,MANSENG GROS DE LUCQ,MANSENG GROS DE LUCQ | MANSENG GROS BLANC | MANSENG GROS MEUNIER | GROS CABERNET | MAROC GROS | MANSENG NOIR | GROS BEC | GROS MANSOIS | GROS COURBU DE SEMIS | MANSENG PETIT BLANC,lacombe 2013; ssr lacombe,,,,
GROS PÉJAC,2,tier3,GROS CABERNET,GROS CABERNET | MAROC GROS | GROS BEC | GROS MANSOIS | GROS COURBU DE SEMIS | GROS DORE | PEJAC GROS | GROS COLMAN BLANC | MANSENG GROS BLANC | MANSENG GROS DE LUCQ,lacombe 2013; ssr lacombe,,,,
GROSSE JACQUÈRE,2,tier3,JACQUERE GROSSE,JACQUERE GROSSE | ROUSSETTE GROSSE | MERILLE GROSSE | GROSSE VIVARAIS,lacombe 2013; ssr lacombe,,,,
GROSSE ROUSSETTE,2,tier3,ROUSSETTE GROSSE,ROUSSETTE GROSSE | ROUSSETTE | JACQUERE GROSSE | MERILLE GROSSE | GROSSE VIVARAIS | ROUSSETTE D'AYZE | ROUSSETTE BASSE DE SEYSSEL,lacombe 2013; ssr lacombe,,,,
HEGEDÜS SANDOR,2,tier3,KOCSIS SANDOR,KOCSIS SANDOR | HEGEDUES SANDOR | GARZO SANDOR | SANDOR ISTVAN | PETOEFI SANDOR | WEKERLE SANDOR,lacombe 2013; ssr lacombe,,,,
IGNEA = PIROVANO 185,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | IGNEA | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
IMPERO = PIROVANO 264,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | IMPERO | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
INSTITUTIS GRDZELMTEVANA,2,tier3,GRDZELMTEVANA INSTITUTIS,GRDZELMTEVANA INSTITUTIS | GRDZELMTEVANA | SIRGULA GRDZELMTEVANA | SAPERAVI GRDZELMTEVANA,vivc confirmed; laucou 2018,,,,
JAEN NEGRO,2,tier3,NEGRO AMARO,NEGRO AMARO | MANTO NEGRO | BREVAL NEGRO | ROJAL NEGRO | LISTAN NEGRO | JAEN TINTO | GEAN NEGRO | GRAN NEGRO | JAEN NEGRA | JAEN GARCIA,lacombe 2013; ssr lacombe,,,,
JEAN BERNATH,2,tier3,BERNATH JANOS,BERNATH JANOS | JEAN MACE | PINOT DE SAINT JEAN | ST. JEAN DE TARDIFF,lacombe 2013; ssr lacombe,,,,
JOÃO DOMINGOS,2,tier3,JOAO DOMINGOS,JOAO DOMINGOS,lacombe 2013; ssr lacombe,,,,
JURANÇON BLANC,2,tier3,CHARDONNAY BLANC,CHARDONNAY BLANC | CHENIN BLANC | SAUVIGNON BLANC | SAVAGNIN BLANC | CHAOUCH BLANC | PINOT BLANC | SEYVAL BLANC | TERRET BLANC | VILLARD BLANC | BALZAC BLANC,lacombe 2013; ssr lacombe,,,,
JURANÇON NOIR,2,tier3,PINOT NOIR,PINOT NOIR | GAMAY NOIR | MERLOT NOIR | GRAND NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR | JURANCON NOIR,lacombe 2013; ssr lacombe,,,,
KANZLER = ALZEY 3983,2,tier3,KANZLER,KANZLER | ALZEY 23384 | ALZEY 2765 | ALZEY 4400 | ALZEY 5079 | ALZEY 5845 | ALZEY 7672 | ALZEY 10506 | ALZEY 10514 | ALZEY 10859,lacombe 2013; ssr lacombe,,,,
KAUKA BLAU,2,tier3,GAENSFUESSER BLAU,GAENSFUESSER BLAU | AUGSTER BLAU | ZWEIGELTREBE BLAU | ELBLING BLAU | WILDBACHER BLAU | PORTUGIESER BLAU | ZIMMETTRAUBE BLAU | KAUKA | KOELNER BLAU | HEUNISCH BLAU,vivc confirmed; lacombe 2013,,,,
KERNER = WE S 25‐30,2,tier3,KERNER,KERNER | KERNER (4N),lacombe 2013; ssr lacombe,,,,
KICHMICH CHICHRAOU,2,tier3,KARA KICHMICH OVROUT,KARA KICHMICH OVROUT,lacombe 2013; ssr lacombe,,,,
KICHMICH ROND,2,tier3,TERRAMON ROND,TERRAMON ROND | KARA KICHMICH OVROUT,vivc confirmed; ssr lacombe,,,,
KNIPPERLÉ PRÉCOCE FAUX,2,tier3,CEAUS ROZ FAUX,CEAUS ROZ FAUX | DIAGALVES FAUX | KARASAKIS FAUX | KIZIL SAPAK FAUX | GORA CHIRINE FAUX | PETIT VERDOT FAUX | ZRINYI ILONA FAUX | ALICANTE BLANC FAUX | CATARRATTO BIANCO FAUX | SAUVIGNON PICCOLO FAUX,lacombe 2013; ssr lacombe,,,,
KNIPPERLÉ TARDIF FAUX,2,tier3,KNIPPERLE TARDIF FAUX,KNIPPERLE TARDIF FAUX | CEAUS ROZ FAUX | DIAGALVES FAUX | KARASAKIS FAUX | KIZIL SAPAK FAUX | GORA CHIRINE FAUX | PETIT VERDOT FAUX | ZRINYI ILONA FAUX | ALICANTE BLANC FAUX | CATARRATTO BIANCO FAUX,lacombe 2013; ssr lacombe,,,,
KOBER 5BB,2,tier3,KOBER 5 BB,KOBER 5 BB | KOBER 125 AA | KOBER 127 | KOBER 125 A | KOBER 127 BB | KOBER 19 A CC,ssr migliaro; ssr oliveira,,,,
KOURTSEITE AGANIN ISIOUM,2,tier3,ATT ISIOUM,ATT ISIOUM | KARA ISIOUM,lacombe 2013; ssr lacombe,,,,
KOZMA 01-1-296,2,tier3,KOZMA PALNE MUSKOTALY,KOZMA PALNE MUSKOTALY | KOZMA | KOZMA 20- 3 | KOZMA CS. 2 | KOZMA 8- 3/ 6 | KOZMA 8- 3/ 9 | KOZMA 8- 3/15 | KOZMA CS.VI-9 | KOZMA CSFT 61 | KOZMA CSFT 92,constantini 2026; node profile,,,,
KOZMA 01-1-482,2,tier3,KOZMA PALNE MUSKOTALY,KOZMA PALNE MUSKOTALY | KOZMA | KOZMA 20- 3 | KOZMA CS. 2 | KOZMA 8- 3/ 6 | KOZMA 8- 3/ 9 | KOZMA 8- 3/15 | KOZMA CS.VI-9 | KOZMA CSFT 61 | KOZMA CSFT 92,constantini 2026; node profile,,,,
KOZMA 01-1-9,2,tier3,KOZMA PALNE MUSKOTALY,KOZMA PALNE MUSKOTALY | KOZMA | KOZMA 20- 3 | KOZMA CS. 2 | KOZMA 8- 3/ 6 | KOZMA 8- 3/ 9 | KOZMA 8- 3/15 | KOZMA CS.VI-9 | KOZMA CSFT 61 | KOZMA CSFT 92,constantini 2026; node profile,,,,
KOZMA 01-1-93,2,tier3,KOZMA PALNE MUSKOTALY,KOZMA PALNE MUSKOTALY | KOZMA | KOZMA 20- 3 | KOZMA CS. 2 | KOZMA 8- 3/ 6 | KOZMA 8- 3/ 9 | KOZMA 8- 3/15 | KOZMA CS.VI-9 | KOZMA CSFT 61 | KOZMA CSFT 92,constantini 2026; node profile,,,,
KÉK KADARKA,2,tier3,KADARKA KEK,KADARKA KEK | OLASZ KADARKA | KADARKA OREG | KADARKA SRB | KADARKA FEHER | KADARKA PIROS | MESZI KADARKA | KADARKA SZUERKE | KADARKA TOEROEK,lacombe 2013; ssr lacombe,,,,
KÖNIGSTRAUBE FAUX,2,tier3,CEAUS ROZ FAUX,CEAUS ROZ FAUX | DIAGALVES FAUX | KARASAKIS FAUX | KIZIL SAPAK FAUX | GORA CHIRINE FAUX | PETIT VERDOT FAUX | ZRINYI ILONA FAUX | ALICANTE BLANC FAUX | CATARRATTO BIANCO FAUX | SAUVIGNON PICCOLO FAUX,lacombe 2013; ssr lacombe,,,,
KÖVER SZÖLÖ FAUX,2,tier3,CEAUS ROZ FAUX,CEAUS ROZ FAUX | DIAGALVES FAUX | KARASAKIS FAUX | KIZIL SAPAK FAUX | GORA CHIRINE FAUX | PETIT VERDOT FAUX | ZRINYI ILONA FAUX | ALICANTE BLANC FAUX | CATARRATTO BIANCO FAUX | SAUVIGNON PICCOLO FAUX,lacombe 2013; ssr lacombe,,,,
LATINA = PIROVANO 711,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | LATINA | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
LITTORIO = PIROVANO 90,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | LITTORIO | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
LOMBARDIA = PIROVANO 353,2,tier3,LOMBARDIA,LOMBARDIA | MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,lacombe 2013; ssr lacombe,,,,
MADELEINE CÉLINE,2,tier3,MADELEINE ROYALE,MADELEINE ROYALE | MADELEINE ANGEVINE | MADELEINE DE CLERMONT | MADELEINE ANGEVINE OBERLIN | MADELEINE CELINE | MADELEINE SAEMLING 18 | MADELEINE | MADELEINE NOIRE | MADELEINE JULIETTE | MADELEINE SYLVANER,lacombe 2013; ssr lacombe,,,,
MADELEINE SÄMLING 18,2,tier3,MADELEINE ROYALE,MADELEINE ROYALE | MADELEINE ANGEVINE | MADELEINE DE CLERMONT | MADELEINE ANGEVINE OBERLIN | MADELEINE CELINE | MADELEINE SAEMLING 18 | MADELEINE | MADELEINE NOIRE | MADELEINE JULIETTE | MADELEINE SYLVANER,lacombe 2013; ssr lacombe,,,,
MAI 10 = PLOVDIV II‐6‐30,2,tier3,PLOVDIV 1,PLOVDIV 1 | PLOVDIV 9-2 | PLOVDIV 9-3 | PLOVDIV 10-2 | PLOVDIV 12-1 | PLOVDIV 12-2 | PLOVDIV 13-3 | PLOVDIV 14-1 | PLOVDIV 21-1 | PLOVDIV 22-2,lacombe 2013; ssr lacombe,,,,
MAI 3 = PLOVDIV II‐6‐16,2,tier3,PLOVDIV 1,PLOVDIV 1 | PLOVDIV 9-2 | PLOVDIV 9-3 | PLOVDIV 10-2 | PLOVDIV 12-1 | PLOVDIV 12-2 | PLOVDIV 13-3 | PLOVDIV 14-1 | PLOVDIV 21-1 | PLOVDIV 22-2,lacombe 2013; ssr lacombe,,,,
MALAGA II (DUMAS),2,tier3,MALAGA II,MALAGA II | MALAGA | MALAGA ROSIE | MALAGA BLANCA | GUTEDEL MALAGA | ROSA DI MALAGA | MALAGA BALOG PAL | MONTUO DE MALAGA | MALAGA SEEDLING 1 | PLOVDIVSKA MALAGA,lacombe 2013; ssr lacombe,,,,
MALVASIA DE COLARES,2,tier3,MALVASIA BIANCA,MALVASIA BIANCA | MALVASIA PRETA | MALVASIA BIANCA LUNGA | MALVASIA NERA DI BRINDISI | MALVASIA DI CANDIA AROMATICA | MALVASIA FINA | MALVASIA ROSARIO | MALVASIA ISTRIANA | MALVASIA DEL LAZIO | MALVASIA ROSAVENDA,lacombe 2013; ssr lacombe,,,,
MANZONI 2‐15,2,tier3,MANZONI BIANCO,MANZONI BIANCO | MANZONI ROSA | MANZONI MOSCATO | MANZONI 2- 3 | MANZONI 2- 14 | MANZONI 2- 15,lacombe 2013; ssr lacombe,,,,
MANZONI 3‐26,2,tier3,MANZONI BIANCO,MANZONI BIANCO | MANZONI ROSA | MANZONI MOSCATO | MANZONI 2- 3 | MANZONI 2- 14 | MANZONI 2- 15,lacombe 2013; ssr lacombe,,,,
MARÉCHAL BOSQUET,2,tier3,MARECHAL BOSQUET,MARECHAL BOSQUET,lacombe 2013; ssr lacombe,,,,
MESLIER SAINT‐FRANÇOIS,2,tier3,MESLIER SAINT FRANCOIS,MESLIER SAINT FRANCOIS | MESLIER NOIR | MESLIER PETIT | MESLIER ROSE | MESLIER HATIF | MESLIER VIOLET | MESLIER NOUVEAU,lacombe 2013; ssr lacombe,,,,
MICHELE PALIERI = PALIERI 5,2,tier3,MICHELE PALIERI,MICHELE PALIERI | SAN MICHELE | SAN MICHELE A | SAN MICHELE B | SAN MICHELE C | SAN MICHELE D | SAN MICHELE E | SAN MICHELE (NON IDENTIFIED),lacombe 2013; ssr lacombe,,,,
MIGUEL DE ARCO (SPAIN),2,tier3,MIGUEL DE ARCO,MIGUEL DE ARCO | JOSE MIGUEL,lac emanuelli 2020; laucou 2018,,,,
MILLARDET ET GRASSET  143 B,2,tier3,MILLARDET ET GRASSET 106- 8,MILLARDET ET GRASSET 106- 8 | MILLARDET ET GRASSET 101- 14 | MILLARDET ET GRASSET 1 | MILLARDET ET GRASSET 2 | MILLARDET ET GRASSET 8 | MILLARDET ET GRASSET 9 | MILLARDET ET GRASSET 11 | MILLARDET ET GRASSET 12 | MILLARDET ET GRASSET 13 | MILLARDET ET GRASSET 14,vivc confirmed; node profile,,,,
MILLARDET ET GRASSET  202-  4,2,tier3,MILLARDET ET GRASSET 202- 4,MILLARDET ET GRASSET 202- 4 | MILLARDET ET GRASSET 202- 5 | MILLARDET ET GRASSET 202- 6 | MILLARDET ET GRASSET 106- 8 | MILLARDET ET GRASSET 101- 14 | MILLARDET ET GRASSET 1 | MILLARDET ET GRASSET 2 | MILLARDET ET GRASSET 8 | MILLARDET ET GRASSET 9 | MILLARDET ET GRASSET 11,vivc confirmed; node profile,,,,
MISKET TRAKIJSHI,2,tier3,MISKET RUSENSKI,MISKET RUSENSKI | MISKET DUNAVSKI | MISKET CHERVEN | MISKET TRAKIJSKI | MISKET VARNENSKI | MISKET | MISKET RAN | KABA MISKET | MISKET UFAK | MISKET PEMBE,lacombe 2013; ssr lacombe,,,,
MISSION = PAIS,2,tier3,MISSION MALE,MISSION MALE | NEGRA DEL PAIS | RUPESTRIS MISSION,lacombe 2013; ssr lacombe,,,,
MONASTRELL = MOURVÈDRE,2,tier3,MONASTRELL,MONASTRELL,vivc confirmed; laucou 2018,,,,
MORRASTEL = GRACIANO,2,tier3,GRACIANO,GRACIANO | MORRASTEL BOUSCHET | MORRASTEL FAUX | GRACIANO DORATO | BOUSCHET PETIT X MORRASTEL 3 | BOUSCHET PETIT X MORRASTEL 5 | BOUSCHET PETIT X MORRASTEL 7 | MORRASTEL BOUSCHET A PETITS GRAINS | BOUSCHET PETIT X MORRASTEL FLEURI 1 | MORRASTEL BOUSCHET A FEUILLES LISSES,vivc confirmed; lacombe 2013,,,,
MOSCATEL DE ANGÜÉS,2,tier3,MOSCATEL ROSADO,MOSCATEL ROSADO | MOSCATEL NAZARENO | MOSCATEL NATIVIDADE | MOSCATEL DE ANGUES | MOSCATEL DE CAMARATE | MOSCATEL AZUL | MOSCATEL ROSA | MOSCATEL NUNES | MOSCATEL TINTO | MOSCATEL APICIA,lac emanuelli 2020; laucou 2018,,,,
MOSCATEL DE SAN ILDEFONSO,2,tier3,MOSCATEL DE SANTO ILDEFONSO,MOSCATEL DE SANTO ILDEFONSO | MOSCATEL ROSADO | MOSCATEL NAZARENO | MOSCATEL NATIVIDADE | MOSCATEL DE ANGUES | MOSCATEL DE CAMARATE | MOSCATEL AZUL | MOSCATEL ROSA | MOSCATEL NUNES | MOSCATEL TINTO,lacombe 2013; ssr lacombe,,,,
MOSCATEL DR SOARES FRANCO,2,tier3,MOSCATEL SOARES FRANCO,MOSCATEL SOARES FRANCO | MOSCATEL ROSADO | MOSCATEL NAZARENO | MOSCATEL NATIVIDADE | MOSCATEL DE ANGUES | MOSCATEL DE CAMARATE | MOSCATEL AZUL | MOSCATEL ROSA | MOSCATEL NUNES | MOSCATEL TINTO,lacombe 2013; ssr lacombe,,,,
MOSCATO D'AMBURGO,2,tier3,MOSCATO D'ADDA,MOSCATO D'ADDA | MOSCATO GIALLO | MOSCATO DI TERRACINA | MOSCATO JESUS | MANZONI MOSCATO | MOSCATO NERO DI ACQUI | MOSCATO EMBRAPA | MOSCATO PAULSEN | MOSCATO TIAMMOR | MOSCATO CERLETTI,vivc confirmed; lac emanuelli 2020,,,,
MOSCATO VIOLETTO,2,tier3,MOSCATO D'ADDA,MOSCATO D'ADDA | MOSCATO GIALLO | MOSCATO DI TERRACINA | MOSCATO JESUS | MANZONI MOSCATO | MOSCATO NERO DI ACQUI | MOSCATO EMBRAPA | MOSCATO PAULSEN | MOSCATO TIAMMOR | MOSCATO CERLETTI,vivc confirmed; lacombe 2013,,,,
MOSTOSA = EMPIBOTTE BIANCO,2,tier3,BOMBINO BIANCO,BOMBINO BIANCO | MANZONI BIANCO | CATARRATTO BIANCO | CATARRATTO BIANCO FAUX | MOSTOSA | GRECO BIANCO 2 | MANTONICO BIANCO | MONTONICO BIANCO | VERDICCHIO BIANCO | ALBARANZEULI BIANCO,vivc confirmed; lacombe 2013,,,,
MOURVÈDRE = MONASTRELL,2,tier3,MONASTRELL,MONASTRELL,lacombe 2013; ssr lacombe,,,,
MUSCAT BIFÈRE,2,tier3,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA | MUSCAT A PETITS GRAINS BLANCS | NEW YORK MUSCAT | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH | MUSCAT LIERVAL,lacombe 2013; ssr lacombe,,,,
MUSCAT BLANC A PETITS GRAINS,2,tier3,MUSCAT A PETITS GRAINS BLANCS,MUSCAT A PETITS GRAINS BLANCS | MUSCAT A PETITS GRAINS NOIRS | MUSCAT A PETITS GRAINS ROSES | MUSCAT A PETITS GRAINS ROUGES | MUSCAT A PETITS GRAINS BLANCS SEEDLESS | MUSCAT DE ST. VALLIER BLANC | MUSCAT BLANC DE MEYNIEU | MUSCAT BLANC DE LASERELLE | MORRASTEL BOUSCHET A PETITS GRAINS,marker support; vivc confirmed,,,,
MUSCAT CENDRÉ,2,tier3,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA | MUSCAT A PETITS GRAINS BLANCS | NEW YORK MUSCAT | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH | MUSCAT LIERVAL,lacombe 2013; ssr lacombe,,,,
MUSCAT D'ISTAMBOUL,2,tier3,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA | MUSCAT A PETITS GRAINS BLANCS | NEW YORK MUSCAT | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH | MUSCAT LIERVAL,lacombe 2013; laucou 2018,,,,
MUSCAT D'OUZBEKISTAN,2,tier3,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA | MUSCAT A PETITS GRAINS BLANCS | NEW YORK MUSCAT | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH | MUSCAT LIERVAL,lacombe 2013; ssr lacombe,,,,
MUSCAT OBERLIN,2,tier3,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA | MUSCAT A PETITS GRAINS BLANCS | NEW YORK MUSCAT | MUSCAT FLEUR D'ORANGER | MADELEINE ANGEVINE OBERLIN | MUSCAT MIKVEH,lacombe 2013; ssr lacombe,,,,
MUSCAT PINCE'S BLACK,2,tier3,PINCE'S BLACK,PINCE'S BLACK | BLACK MUSCAT | BLACK MOROCCO | BLACK MONUKKA | MUSCAT OTTONEL | MUSCAT HAMBURG | AUTUMN BLACK | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA,lacombe 2013; ssr lacombe,,,,
MUSCAT SAINT‐LAURENT,2,tier3,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA | MUSCAT A PETITS GRAINS BLANCS | NEW YORK MUSCAT | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH | MUSCAT LIERVAL,lacombe 2013; ssr lacombe,,,,
MUSCAT SUSANNA,2,tier3,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA | MUSCAT A PETITS GRAINS BLANCS | NEW YORK MUSCAT | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH | MUSCAT LIERVAL,lacombe 2013; ssr lacombe,,,,
MUSCAT À PETITS GRAINS,2,tier3,MUSCAT A PETITS GRAINS BLANCS,MUSCAT A PETITS GRAINS BLANCS | MUSCAT A PETITS GRAINS NOIRS | MUSCAT A PETITS GRAINS ROSES | MUSCAT A PETITS GRAINS ROUGES | MUSCAT A PETITS GRAINS BLANCS SEEDLESS | MORRASTEL BOUSCHET A PETITS GRAINS | MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT,lacombe 2013; ssr lacombe,,,,
MUSKAT BLUME,2,tier3,MUSKAT VIRA,MUSKAT VIRA | MORIO MUSKAT | MUSKAT DONSKOI | MUSKAT OBERLIN | MUSKAT SUSANNA | MUSKAT DESERTNYI | MUSKAT YEREVANYAN | MUSKAT ZHEMCHUZHNYI | MUSKAT USBEKISTANSKII | ALDA MUSKAT,lacombe 2013; ssr lacombe,,,,
MUSKAT BOUQUET,2,tier3,MUSKAT VIRA,MUSKAT VIRA | MORIO MUSKAT | MUSKAT DONSKOI | MUSKAT OBERLIN | MUSKAT SUSANNA | MUSKAT DESERTNYI | MUSKAT YEREVANYAN | MUSKAT ZHEMCHUZHNYI | MUSKAT USBEKISTANSKII | ALDA MUSKAT,lacombe 2013; ssr lacombe,,,,
MÉTIS CLERC,2,tier3,CLERC,CLERC,lacombe 2013; ssr lacombe,,,,
NAVE = TOTOSI,2,tier3,NAVE,NAVE,lac emanuelli 2020; laucou 2018,,,,
NEDELCSEV MAGVATLANA,2,tier3,NEDELTCHEFF MAGVATLANA,NEDELTCHEFF MAGVATLANA,lacombe 2013; ssr lacombe,,,,
NOBLING = 128‐40 FRIBOURG,2,tier3,NOBLING,NOBLING,lacombe 2013; ssr lacombe,,,,
