child_variety,vivc_no,source_code,author,year,title,doi,n_loci
A DONA,15290,40894,"LUCIANO DE OLIVEIRA, G.; PEREIRA DE SOUZA, A.; ANCELMO DE OLIVEIRA, F.; IMACULADA ZUCCHI, M.; MOURA DE SOUZA, L.; FERNANDES MOURA, M.",2020,Genetic structure and molecular diversity of Brazilian grapevine germplasm: Management and use in breeding programs,10.1371/journal.pone.0240665,12
ABBOTTABOTTI,4,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
ABONDANT,24,577,ANONYMOUS,2007,Catalogue des variétés et clones de vigne cultivés en France 2ème édition,,
ABONDANT,24,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ACCENT,20540,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
ACETO,45,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
ACHALA NOIR,27465,40942,"TORRES, R.; ALIQUÓ, G.; TORO, A.; FERNANDEZ, F.; TORNELLO, S.; PALAZZO, E.; SARI, S.; FANZONE, M.; DE BIAZI, F.; OVIEDO, H.J.; SEGURA, R.; LAUCOU, V.; LACOMBE, T.; PRIETO, J.A.",2022,Identification and recovery of local,10.1111/ajgw.12561,20
ACOLON,17123,684,"MAUL, E.; SCHUMANN, F.; HILL, B.H.E.; DOERNER, F.; BENNEK, H.; LAUCOU, V.; BOURSIQUOT, J.M.; LACOMBE, T.; ZYPRIAN, E.; EIBACH, R.; TOEPFER, R.",2013,Die Kreuzungseltern deutscher Rebenneuzüchtungen im Fokus - Was sagt der genetische Fingerabdruck?,,20
ADMIRABLE DE COURTILLER,68,577,ANONYMOUS,2007,Catalogue des variétés et clones de vigne cultivés en France 2ème édition,,
ADMIRABLE DE COURTILLER,68,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
ADMIRABLE DE COURTILLER,68,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AFFENTHALER,79,1219,"MAUL, E.; RÖCKEL, F.; TÖPFER, R.",2020,Wiederentdeckte traditionelle Rebsorten und die Einordnung ihrer geographischen und zeitlichen Entstehung,,25
AFFENTHALER,79,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
AG BEILAGANI,23430,40944,"MAUL, E.; ET AL.",2023,Unravelling kinships and grape (,,24
AGAPANTHE,90,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AGARAKI,16287,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
AGLIANICO GRANA GROSSA,22901,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
AGOSTENGA ROSSA,108,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AGUA SANTA,123,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
AGUA SANTA,123,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
AGUA SANTA,123,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
AGUA SANTA,123,40255,"ZINELABIDINE, L. H.; HADDIOUI, A.; RODRIGUEZ, V.; CABELLO, F.; EIRAS-DIAS, J. E.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.",2012,Identification by SNP analysis of a major role for Cayetana Blanca in the genetic network of Iberian Peninsula grapevine varieties,10.5344/ajev.2011.11052,
AGUNA,15746,40944,"MAUL, E.; ET AL.",2023,Unravelling kinships and grape (,,24
AIDA,146,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AIGENI SEV,149,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
AIGEZARD,5746,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
AIN EL BOUMA,17384,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
AIN EL BOUMA,17384,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AIT HAMAMA,24158,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AITONYCHI MAVRO,76,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
AITONYCHI MAVRO,76,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AITONYCHI MAVRO,76,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
AIVAZ,17379,40695,"VAN HEERDEN, C. J.; BURGER, P.; PRINS, R.",2018,Microsatellite-based DNA fingerprinting of selected grapevine cultivars,10.21548/39-1-2053,35
AKITSIS,189,40949,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.; SAVVIDES, S.",2023,Grape (,,24
ALA SHAANI (NON IDENTIFIED),42415,40944,"MAUL, E.; ET AL.",2023,Unravelling kinships and grape (,,24
ALARIJE,213,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
ALARIJE,213,40140,"LACOMBE, T.; BOURSIQUOT, J.-M. ; LAUCOU, V.; DECHESNE, F.; VARÈS, D.; THIS, P.",2007,Relationships and genetic diversity within the accesions related to Malvasia held in the Domaine de Vassal grape germplams repository,,20
ALARIJE,213,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ALARIJE,213,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
ALBA,219,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ALBALONGA,226,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ALBALONGA,226,684,"MAUL, E.; SCHUMANN, F.; HILL, B.H.E.; DOERNER, F.; BENNEK, H.; LAUCOU, V.; BOURSIQUOT, J.M.; LACOMBE, T.; ZYPRIAN, E.; EIBACH, R.; TOEPFER, R.",2013,Die Kreuzungseltern deutscher Rebenneuzüchtungen im Fokus - Was sagt der genetische Fingerabdruck?,,33
ALBAROSSA,239,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
ALBAROSSA,239,40106,"MANNINI, F.; ROLLE, L.; GERBI, V.; ZEPPA, G.; BOCCACCI, P.",2004,Caratterizzazione genetica e fenolica degli incroci Albarossa e Cornarea (,,12
ALBAROSSA,239,40674,"RAIMONDI, S.; CARLOMAGNO, A.; RUFFA, P.; OGLIETTI, S.; NOVELLO, V.; SCHNEIDER, A.",2017,Pedigree reconstruction of wine and table grape crossbreeds created in Italy by Giovanni Dalmasso,10.1016/j.scienta.2017.02.044,22
ALBEMARLE,241,574,"RIAZ, S.; TENSCHER, A.C.",2008,"Use of SSR-Markers to Assess Identity, Pedigree, and Diversity of Cultivated Muscadine Grapes",10.21273/JASHS.133.4.559,20
ALBILLA DORADA,23429,40320,"MENA, A.; MARTINEZ, J.; FERNANDEZ-GONZALEZ, M.",2014,"Recovery, identification and relationships by microsatellite analysis of ancient grapevine cultivars from Castilla-La Mancha: the largest wine groving region in the world",10.1007/s10722-013-0064-3,31
ALBILLO DE GRANADA,248,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
ALBILLO DE GRANADA,248,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
ALCOA,12475,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
ALDEN,261,40144,"BAUTISTA, J.; DANGL, G. S.; YANG, J.; REISCH, B.; STOVER, E.",2008,Use of genetic markers to assess pedigrees of grape cultivars and breeding program selections,,15
ALDEN,261,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,15
ALFREDO MARCHETTI,27148,40907,"CRESPAN, M.; MIGLIARO, D.; LARGER, S.; PINDO, M.; PALMISANO, M.; MANNI, A.; MANNI, E.; POLIDORI, E.; SBAFFI, F.; SILVESTRI, Q.; SILVESTRONI, O.; VELASCO, R.; VIRGILI, S.; CARMILLI, G.",2021,Grapevine (Vitis vinifera L.) varietal assortment and evolution in the Marche region (central Italy),10.20870/oeno-one.2021.55.3.4628,12
ALICANTE BLANC FAUX,41911,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ALICANTE HENRI BOUSCHET,304,40089,"CABEZAS, J.A.; CERVERA, M.T.; ARROYO-GARCIA, R.; ICANEZ, J.; RODRIGEZ-TORRES, U.; BORREGO, J.; CABELLO, J.; MARTINEZ-ZAPATER, J.M.",2003,Garnacha and Garnacha Tintorera: Genetic relationship and the origin of Teinturier varieties cultivated in Spain,,12
ALICANTE HENRI BOUSCHET,304,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
ALICANTE HENRI BOUSCHET,304,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
ALICANTE HENRI BOUSCHET,304,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ALICANTE HENRI BOUSCHET,304,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
ALIGOTE,312,577,ANONYMOUS,2007,Catalogue des variétés et clones de vigne cultivés en France 2ème édition,,
ALIGOTE,312,40121,"BOURSIQUOT, J.-M.; LACOMBE, T.; BOWERS, J.; MEREDITH, C.",2004,"Le Gouais, un cépage clé du patrimoine viticole Européen",,14
ALIGOTE,312,40016,"BOWERS, J.E.; BOURSIQUOT, J.-M.; THIS, P.; CHU, K.; JOHANSSON, H.; MEREDITH, C.",1999,"Historical genetics: The parentage of Chardonnay, Gamay and other wine grapes of northeastern France",10.1126/science.285.5433.1562,32
ALIGOTE,312,40858,"KARASTAN, O. M.; MULIUKINA, N. A.; PAPINA, O. S.",2018,Verification of grape pedigree by microsatellite analysis,10.3103/S0095452718050031,9
ALIGOTE,312,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ALIGOTE,312,40055,"SEFC, K.M.; LEFORT, F.; GRANDO, M.S.; SCOTT, K.D.; STEINKELLER, H.; THOMAS, M.R.",2001,Microsatellite markers for grapevine: A state of the art,,
ALLAREN,25111,40489,"CUNHA, J.; ZINELABIDINE, L. H.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.; EIRAS-DIAS, J. E.",2015,Grapevine cultivar 'Alfrocheiro' or 'Brunal' plays a primary role in the relationship among Iberian grapevines,10.5073/vitis.2015.54.special-issue.59-65,21
ALLAREN,25111,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
ALLAREN,25111,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
ALLAREN,25111,863,"ZINELABIDINE, L. H.; CUNHA, J.; EIRAS-DIAS, J. E.; CABELLO, F.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.",2015,Pedigree analysis of the Spanish grapevine cultivar 'Heben',10.5073/vitis.2015.54.special-issue.81-86,
ALLEN'S HYBRID,326,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
ALMAFRA,5191,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
ALMERIA NERA,22738,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
ALMERIA NERA,22738,40152,"VARGAS, A.M.; TERESA DE ANDRES, M.; BORREGO, J.; IBANEZ, J.",2009,Pedigrees of fifty table-grape cultivars,,25
ALNWICK SEEDLING,341,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ALPHONSE LAVALLEE,349,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
ALPHONSE LAVALLEE,349,1337,"FEDOSOV, D. Y.; KORZHENKOV, A. A.; PETROVA, K. O.; SAPSAY, A. O.; SHARKO, F. S.; TOSHCHAKOV, S. V.; KOLOSOVA, A. A.; BAKHMUTOVA, E. D.; PATRUSHEV, M. V.",2021,SNP-based analysis reveals authenticity and genetic similarity of Russian indigenous V. vinifera grape cultivars,10.3390/plants10122696,
ALPHONSE LAVALLEE,349,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
ALPHONSE LAVALLEE,349,40858,"KARASTAN, O. M.; MULIUKINA, N. A.; PAPINA, O. S.",2018,Verification of grape pedigree by microsatellite analysis,10.3103/S0095452718050031,9
ALPHONSE LAVALLEE,349,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ALVAL,22672,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ALVARELHAO CEITAO,368,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
ALVARINHO LILAS,372,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
ALVINA,16384,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
ALVINA,16384,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ALZEY  7672,23092,40834,"SKELTON, S.; RÖCKEL, F.; MAUL, E.",2019,Alzey 7672 - Abstammung,,25
ALZEY 23384,396,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
AMBER QUEEN,413,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,21
ANAHIT,5749,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
ANCORAT,449,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ANGELO PIROVANO,476,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
ANGELO PIROVANO,476,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ANGUALASTO,27466,40942,"TORRES, R.; ALIQUÓ, G.; TORO, A.; FERNANDEZ, F.; TORNELLO, S.; PALAZZO, E.; SARI, S.; FANZONE, M.; DE BIAZI, F.; OVIEDO, H.J.; SEGURA, R.; LAUCOU, V.; LACOMBE, T.; PRIETO, J.A.",2022,Identification and recovery of local,10.1111/ajgw.12561,20
ANNAMARIA,487,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ANTAO VAZ,493,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ANTEI MAGARACHSKII,5751,40198,"GORYSLAVETS, S.; RISOVANNA, V.; BACILIERI, R.; HAUSMANN, J.-F.; HEUERTZ, M.",2010,A parentage study of closely related Ukrainian wine grape varieties using microsatellite markers,10.3103/S0095452710020040,6
ANUSH,16457,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
ANUSHAYUT,5752,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
